ID,BRAND,NAME,FORM,AMOUNT,DOSE,DHA mg PER DOSE,EPA mg PER DOSE,EPA +DHA,PRICE in £,COUNTRY,REVIEWS FROM,RATING,REVIEW
1,EQOLOGY,Pure Arctic Oil,liquid,300,30,770,650,1420,48,Norway,https://www.trustpilot.com/review/www.eqology.com?page=2,1,"Beware of subscription traps. The quality of the oil seems good, and the taste is good too. Unfortunately, I misplaced my ID card during the blood test. This meant that my expensive blood test was null and void. They didn't help me any further. I then tried to cancel my subscription at the end of the 6 months."
2,EQOLOGY,Pure Arctic Oil,liquid,300,30,770,650,1420,48,Norway,https://www.trustpilot.com/review/www.eqology.com?page=3,1,Beware of Eprimo. I ended up there via check24. This morning I received a new offer. My payment went up from €98 to €428. I've just canceled everything and will look for a reputable electricity provider.
3,EQOLOGY,Pure Arctic Oil,liquid,300,30,770,650,1420,48,Norway,https://www.trustpilot.com/review/www.eqology.com?page=4,1,"The worst crap, absolute rip-off. No real help, just a subscription trap."
4,EQOLOGY,Pure Arctic Oil,liquid,300,30,770,650,1420,48,Norway,https://www.trustpilot.com/review/www.eqology.com?page=5,1,"Be careful with the 6-month subscription! It says in advance that you can cancel in the customer portal one month before the subscription expires! Unfortunately that wasn't possible... I sent an email to the support team in good time - they confirmed the cancellation. Nevertheless, I received two more deliveries and the money was debited from my account... Today, two months later, I'm still emailing the unhelpful and unfortunately not very competent lady from the support team. Competent information cannot be obtained over the phone because no precautions have been taken. The product itself (Pure Arctic oil) didn't have any significant effect on me that would justify the high price. Recommendation to Eqology: - simplify the method for canceling the 6-month subscription. This should always be quick and easy to see in the customer portal. (Builds trust) Create the option to get information over the phone if the support team is stuck."
5,EQOLOGY,Pure Arctic Oil,liquid,300,30,770,650,1420,48,Norway,https://www.trustpilot.com/review/www.eqology.com?page=6,1,"I've been a customer for over a year – and quite honestly: What's going on here is a complete disgrace. The customer service is disrespectful, incompetent, and completely disinterested. A simple email with three clear questions? You might get one of them half-answered – and in a tone that's anything but friendly. On the phone, you're treated rudely, sometimes abusively, often in bad German, completely unprofessional. It seems like a cheap external call center that has nothing to do with the company itself – absolutely no solution-orientation, no empathy, no responsibility. Promised services like 3FF or bonus payments are either not implemented at all or handled so non-transparently that you, as a customer, are completely in the dark. Any further queries? Are they ignored or dismissed. I now know several business partners who report the same thing – some actively warn against the company. And then the reviews here: To be honest – good reviews seem questionable once you've experienced for yourself how things work internally. They advertise sustainability, environmental protection, and high-quality oil – but no one cares whether the customers are doing well or whether the processes even work. The main thing is that it's network marketing, everyone makes their commission – but no one takes responsibility. No wonder everything looks polished as long as the only thing you're supposed to do is sell. But if there's a problem, you're suddenly completely on your own. Bottom line: Buy your oil elsewhere. Here you get nice advertising slogans, but no real support, no reliability, no honesty. This is a big sales machine – more show than substance. It's not contemporary – and certainly not worth supporting."
6,EQOLOGY,Pure Arctic Oil,liquid,300,30,770,650,1420,48,Norway,https://www.trustpilot.com/review/www.eqology.com?page=7,1,"I canceled my eqology subscription on time. I'm now receiving another shipment of the gold oil and vitamin D3 tablets. But I keep getting messages saying I can't cancel yet, and another time I'm sent a cancellation confirmation. Then they say again they need my exact details, even though they have them. It's unbelievable. So I'll see if I can cancel. If not, I'll take legal action. This isn't honest or customer-friendly."
7,EQOLOGY,Pure Arctic Oil,liquid,300,30,770,650,1420,48,Norway,https://www.trustpilot.com/review/www.eqology.com?page=8,1,"Beware of Eqology! I was recently charged for an additional bottle and sent it to me. I spent ages on the phone and texting customer service to get the whole thing returned. Now, instead of the gold oil I paid for, they only sent me the regular oil. After complaining, I had to go through a complicated process. Fill out a form, days later they wanted photos as proof, now I have to take everything to the post office and send it back. Only after everything has been checked will I get my correct bottle. Eqology is by no means customer-friendly. It seems they're trying to squeeze even more money out of the customer."
8,EQOLOGY,Pure Arctic Oil,liquid,300,30,770,650,1420,48,Norway,https://www.trustpilot.com/review/www.eqology.com?page=9,1,"If I could, I wouldn't give it a star at all. They lure you into a subscription without even realizing it! Cancellation is only possible with a medical certificate or a €60 fine!"
9,EQOLOGY,Pure Arctic Oil,liquid,300,30,770,650,1420,48,Norway,https://www.trustpilot.com/review/www.eqology.com?page=10,1,"None of the things advertised in the presentations happened after taking the products. Quite the opposite! I stopped taking the Gold Oil and the D3 K 2 capsules exactly three weeks later! The reasons for this were high blood pressure, depression, extreme fatigue (I almost fell asleep while driving), shortness of breath, lack of motivation, etc. I can only recommend avoiding taking these products without medical supervision. Every human organism is unique and reacts differently accordingly. I will now have the product tested in an independent laboratory."
10,EQOLOGY,Pure Arctic Oil,liquid,300,30,770,650,1420,48,Norway,https://www.trustpilot.com/review/www.eqology.com?page=11,1,"I was recommended the product (Omega-3 oil and K2/D3 capsules) by my gynecologist, and I signed the ""contract"" there. I actually thought my K2/D3 levels would also be tested, but this didn't happen, only my Omega-3/Omega-6 levels. I then had my K2/D3 levels checked by my family doctor. According to these guidelines, my K2 level was too high, so I shouldn't take it anymore (according to the Eqology overview, however, with my K2 data, I do have a K2 requirement, which I find very interesting, so I'll also have my Omega-3 requirements checked). I returned the unused K2/D3 capsules; apparently, they never arrived at the warehouse (I've enclosed my invoice), and therefore no refund is possible... I've now canceled the subscription. Since the 6 months aren't up yet, I'll probably be charged a cancellation fee of €60. Overall, it's very tedious, but the money is quickly debited from your account!"
11,EQOLOGY,Pure Arctic Oil,liquid,300,30,770,650,1420,48,Norway,https://www.trustpilot.com/review/www.eqology.com?page=12,1,"Apparently, distributors are forced to make money! My colleague is a distributor, and she's not just trying to sell the oil subscription, concealing the fact that it's a subscription, but also recruiting new distributors. Initially, they listened to her, but now they slam the office door when they hear the woman leaving her own office. A ""I'm not interested!"" isn't accepted. Unbelievable! No one in the company wants to work with this woman anymore; she even chats up customers and pushes the oil on them."
